Code,Name,SKU,Category,Brand,Price
"P-GEN-PRD-26205-01","Broiler","","—","—","0"
"P-POU-PRD-26212-02","new","","Poultry Feeds & Ingredients","—","1200"
"P-POU-PRD-26212-03","new1","","Poultry Feeds & Ingredients","—","0"
"P-POU-PRD-26212-04","new","","Poultry Feeds & Ingredients","—","0"
"P-PIG-PRD-26212-05","new5","","Piggery Feeds & Supplements","—","0"
"P-POU-PRD-26212-06","new12","","Poultry Feeds & Ingredients","—","1000"
"P-MED-PRD-26213-07","old","","Livestock Medicines & Vaccines","—","0"
"P-POU-PRD-26213-08","lkj","","Poultry Feeds & Ingredients","ll","1000"
"P-POU-PRD-26213-09","lkjr","","Poultry Feeds & Ingredients","ll","1000"
"P-POU-PRD-26214-10","hello","","Poultry Feeds & Ingredients","new12","1250"
"P-POU-PRD-26214-11","chicken","","Poultry Feeds & Ingredients","ll","1450"
